experiment,epoch,split,bce,precision,recall,f1
baseline,130,train,0.07922913352126952,0.7272727272727273,1.0,0.8421052631578947
baseline,130,validation,0.11570350914564738,0.7,0.875,0.7777777777777778
baseline,140,train,0.07564012117236159,0.8,1.0,0.8888888888888888
baseline,140,validation,0.12050721052362923,0.75,0.75,0.75
baseline,150,train,0.06204949018861607,0.8,1.0,0.8888888888888888
baseline,150,validation,0.11199052898709976,0.75,0.75,0.75
baseline,160,train,0.05580973189880016,0.8,1.0,0.8888888888888888
baseline,160,validation,0.12087309656778553,1.0,0.75,0.8571428571428571
baseline,170,train,0.07978613887985932,0.7272727272727273,1.0,0.8421052631578947
baseline,170,validation,0.1800598408830597,0.5714285714285714,0.5,0.5333333333333333
baseline,180,train,0.0541129317614887,1.0,0.875,0.9333333333333333
baseline,180,validation,0.18239476018517387,0.8333333333333334,0.625,0.7142857142857143
compact,1,train,0.674024712848297,0.0,0.0,0.0
compact,1,validation,0.6761806129468665,0.0,0.0,0.0
compact,10,train,0.2505656984029442,1.0,0.625,0.7692307692307693
compact,10,validation,0.2567763949397577,1.0,0.625,0.7692307692307693
compact,20,train,0.14003901460283133,0.75,0.75,0.75
compact,20,validation,0.22866331374951213,0.7,0.875,0.7777777777777778
compact,30,train,0.1925281009076917,0.5333333333333333,1.0,0.6956521739130435
compact,30,validation,0.3227624958935812,0.3888888888888889,0.875,0.5384615384615384
compact,40,train,0.092034493539136,0.875,0.875,0.875
compact,40,validation,0.15022666129801504,0.7777777777777778,0.875,0.8235294117647058
compact,50,train,0.08022769388670908,0.875,0.875,0.875
compact,50,validation,0.11518631138696198,0.7777777777777778,0.875,0.8235294117647058
compact,60,train,0.07733036097967613,0.7777777777777778,0.875,0.8235294117647058
compact,60,validation,0.10610084841550194,0.7777777777777778,0.875,0.8235294117647058
compact,70,train,0.08207538839257145,0.7777777777777778,0.875,0.8235294117647058
compact,70,validation,0.10840595957727636,0.7777777777777778,0.875,0.8235294117647058
compact,80,train,0.08087720475361214,0.7777777777777778,0.875,0.8235294117647058
compact,80,validation,0.10363681192804748,0.7777777777777778,0.875,0.8235294117647058
compact,90,train,0.08043740164505161,0.7,0.875,0.7777777777777778
compact,90,validation,0.10321045458150742,0.7777777777777778,0.875,0.8235294117647058
compact,100,train,0.07962126575022255,0.7,0.875,0.7777777777777778
compact,100,validation,0.10384945760293125,0.7777777777777778,0.875,0.8235294117647058
compact,110,train,0.07861904034980256,0.7,0.875,0.7777777777777778
compact,110,validation,0.1048984343205391,0.7777777777777778,0.875,0.8235294117647058
compact,120,train,0.07722416957424824,0.7,0.875,0.7777777777777778
compact,120,validation,0.10632991208054106,0.7777777777777778,0.875,0.8235294117647058
compact,130,train,0.07616983624480107,0.7272727272727273,1.0,0.8421052631578947
compact,130,validation,0.10882287645567001,0.7777777777777778,0.875,0.8235294117647058
compact,140,train,0.07402998068565307,0.7272727272727273,1.0,0.8421052631578947
compact,140,validation,0.11100886417340564,0.75,0.75,0.75
compact,150,train,0.07832405655613225,0.7272727272727273,1.0,0.8421052631578947
compact,150,validation,0.12380256502304947,0.6666666666666666,0.75,0.7058823529411765
compact,160,train,0.0531725896523231,1.0,0.875,0.9333333333333333
compact,160,validation,0.09783281253268962,0.8571428571428571,0.75,0.8
compact,170,train,0.07348412056380602,0.8,1.0,0.8888888888888888
compact,170,validation,0.12323119880241987,0.75,0.75,0.75
compact,180,train,0.07856487439612655,0.8,1.0,0.8888888888888888
compact,180,validation,0.12976112649119131,0.6,0.75,0.6666666666666666
short,1,train,1.0759849451717258,0.12698412698412698,1.0,0.22535211267605634
short,1,validation,1.070556997711752,0.12698412698412698,1.0,0.22535211267605634
short,10,train,0.28220493156793625,1.0,0.625,0.7692307692307693
short,10,validation,0.28327594632835834,1.0,0.625,0.7692307692307693
short,20,train,0.1604713698814596,0.7,0.875,0.7777777777777778
short,20,validation,0.2166079012516891,0.7,0.875,0.7777777777777778
short,30,train,0.11995449551216224,0.7777777777777778,0.875,0.8235294117647058
short,30,validation,0.2132494882816222,0.6,0.75,0.6666666666666666
short,40,train,0.1251818618777492,0.6666666666666666,1.0,0.8
short,40,validation,0.15408636790049046,0.6363636363636364,0.875,0.7368421052631579
short,50,train,0.08086253305930771,0.7777777777777778,0.875,0.8235294117647058
short,50,validation,0.08675281098244139,0.7777777777777778,0.875,0.8235294117647058
short,60,train,0.10384940158416578,0.7272727272727273,1.0,0.8421052631578947
short,60,validation,0.11607835746052786,0.7272727272727273,1.0,0.8421052631578947
